title,description
"손흥민 향해 '눈 찢기'한 男의 최후…""경기장 영구 출입금지""",잉글랜드 프로축구 프리미어리그(EPL)에서 뛰는 손흥민(30·토트넘)에게 인종 차별적 행위를 한 팬이 무기한... 당시 손흥민이 코너킥을 차기 위해 경기장 구석으로 이동하자 한 남성이 관중석에서 상의를 벗고 눈을 옆으로... 
손흥민 대신 히샬리송? 결국 골이다,손흥민(30·토트넘)의 시즌 초반 행보를 놓고 현지에서 또 말이 나오고 있다. 손흥민은 지난 20일(한국시각) 영국 런던 토트넘 홋스퍼 스타디움서 펼쳐진 ‘2022-23 잉글랜드 프리미어리그(EPL)' 3라운드 울버햄튼전에서 1-0... 
"‘수비 좀 해!’ 주장 요리스, 또 경기중 손흥민 질책",잉글랜드 프로축구 프리미어리그 토트넘에서 뛰는 손흥민(30)이 팀의 주장이자 주전 골키퍼인 위고 요리스(36·프랑스)와 경기 도중 또 언쟁을 벌였다. 영국 축구 전문 매체 풋볼 런던은 21일 “손흥민과 요리스가 전날... 
[스잘알]손흥민vs요리스 충돌로 본 유럽축구 동료 간 주먹다짐,"기사내용 요약 손흥민-요리스, 2020년 이어 최근에 또 경기 도중 언쟁 손흥민, 2012년 함부르크 시절에도 동료와 발차기 다툼 구자철은 볼프스부르크서 뛸 때 훈련장서 동료와 주먹다짐 EPL 사상 최악의 동료 난투극은... "
"손흥민이 아직도 무득점이라니…""몇 골 넣으면 달라질 것""",손흥민(토트넘)이 시즌 초반 어려움을 겪고 있다. 손흥민이 올 시즌 아직 득점을 올리지 못했다. 2022-23시즌 잉글랜드 프리미어리그 3라운드까지 모두 선발로 나선 손흥민은 1도움을 기록할 뿐 골을 넣지 못했다. 지난... 
"김민재, 완벽 수비에 데뷔골까지…'손흥민·황희찬보다 빨랐다'","(나폴리)는 손흥민(토트넘)보다도, 황희찬(울버햄프턴)보다도 빠르게 득점포를 가동했다. 김민재는 22일... 지난 시즌 잉글랜드 프리미어리그(EPL) 공동 득점왕에 오르며 세계 최고 골잡이 중 하나로 인정받은 손흥민은... "
"""교체 아웃이 어색한 손흥민, 행복하지 않아 보였다""…토트넘 출신 해설가 우...",토트넘 출신 해설가 오하라가 손흥민의 교체에 대해 아쉬움을 나타냈다. 오하라는 22일(현지시간) 영국 토크스포츠를 통해 울버햄튼전 손흥민의 활약에 대한 생각을 전했다. 손흥민은 울버햄튼전에서 선발 출전해 팀... 
토트넘 레전드 “손흥민 폼 떨어졌지만 아직 월드클래스…몇 골 넣으면 회복될...,"토트넘 레전드가 손흥민(30, 토트넘)의 시즌 초반 부진을 감쌌다. 지난 시즌 23골로 프리미어리그 득점왕을 차지한 손흥민의 출발이 삐걱대고 있다. 손흥민은 최근 2경기 연속 교체되며 부진한 모습을 보였다. 손흥민은... "
"손흥민과 요리스, 수비 가담 문제로 '또' 싸웠다","잉글랜드 프리미어리그(EPL) 토트넘 홋스퍼의 손흥민이 2년 만에 동료 골키퍼 위고 요리스와 충돌했다. 경기 중 수비 가담을 놓고 언쟁을 벌인 것으로 밝혀졌다. 영국 매체 '풋볼 런던'은 21일(이하 한국시간) ""손흥민과... "
"손흥민에 인종차별 행위 한 팬, 무기한 경기장 출입금지 징계",손흥민(30·토트넘 홋스퍼)에 인종차별 행위를 한 팬에게 무기한 경기장 출입금지 징계가 내려졌다.... 도중 손흥민은 첼시 팬으로부터 인종차별 행위를 당했다. 당시 경기 후반 손흥민이 코너킥을 차기 위해 이동할 때... 
"손흥민, 울버햄튼전서 주장 요리스 골키퍼와 또 충돌?","홋스퍼의 손흥민(30)이 소속팀 주장인 위고 요리스(36·프랑스) 골키퍼와 경기 도중 언쟁을 벌였다. 영국 매체 풋볼런던은 21일(한국시간) ""손흥민과 요리스가 전날 열린 울버햄튼과의 경기 도중 말다툼을 했다""고 전했다.... "
"""손흥민 골 없다고? 맨시티-리버풀에서도 당연히 주전""","손흥민(30, 토트넘)이 어떤 빅클럽에서도 주전이 가능하다는 평가가 나왔다. 선수 출신 오언 하그리브스는 21일(한국시간) '프리미어리그 프로덕션'에 출연, 골을 터뜨린 해리 케인이 칭찬을 받는 것은 당연하지만 손흥민... "
